,brand,model,biz30day,total_sold_price,submarket,target_score,sku
0,meichen/美星晨,010 800W 220V～ 50HZ,451.0,67199.0,{'6': '智能'},"{'质量': {'质量': {'质量': 43.0, '声音': 36.0, '挺好': 6.0, '噪声': 1.0, '电源线': -1.0, '噪音': 1.0, '盖子': 1.0, '嗓音': 1.0, '吵得': -1.0, '实用性': 3.0}, '款式': {'很漂亮': 1.0, '款式': 2.0, '塑料': -1.0, '按键': 1.0, '样式': 1.0}, '功能': {'豆浆': 4.0, '榨汁': 1.0, '榨汁机': 2.0, '绞肉': -1.0, '果汁': 3.0, '菠萝汁': 1.0, '辅食': 1.0, '电路': 1.0, '虾皮': 0.0, '苹果汁': 1.0, '豆汁': 1.0, '功率': 2.0, '转速': 4.0}, '服务': {'服务态度': 13.0, '包装': 12.0, '态度': 10.0, '好评': 2.0, '卖家': 2.0, '换货': 1.0, '外包装': -1.0, '客服': 1.0, '包装盒': 1.0}, '物流': {}}, '款式': {'质量': {'质量': 43.0, '声音': 36.0, '挺好': 6.0, '噪声': 1.0, '电源线': -1.0, '噪音': 1.0, '盖子': 1.0, '嗓音': 1.0, '吵得': -1.0, '实用性': 3.0}, '款式': {'很漂亮': 1.0, '款式': 2.0, '塑料': -1.0, '按键': 1.0, '样式': 1.0}, '功能': {'豆浆': 4.0, '榨汁': 1.0, '榨汁机': 2.0, '绞肉': -1.0, '果汁': 3.0, '菠萝汁': 1.0, '辅食': 1.0, '电路': 1.0, '虾皮': 0.0, '苹果汁': 1.0, '豆汁': 1.0, '功率': 2.0, '转速': 4.0}, '服务': {'服务态度': 13.0, '包装': 12.0, '态度': 10.0, '好评': 2.0, '卖家': 2.0, '换货': 1.0, '外包装': -1.0, '客服': 1.0, '包装盒': 1.0}, '物流': {}}, '功能': {'质量': {'质量': 43.0, '声音': 36.0, '挺好': 6.0, '噪声': 1.0, '电源线': -1.0, '噪音': 1.0, '盖子': 1.0, '嗓音': 1.0, '吵得': -1.0, '实用性': 3.0}, '款式': {'很漂亮': 1.0, '款式': 2.0, '塑料': -1.0, '按键': 1.0, '样式': 1.0}, '功能': {'豆浆': 4.0, '榨汁': 1.0, '榨汁机': 2.0, '绞肉': -1.0, '果汁': 3.0, '菠萝汁': 1.0, '辅食': 1.0, '电路': 1.0, '虾皮': 0.0, '苹果汁': 1.0, '豆汁': 1.0, '功率': 2.0, '转速': 4.0}, '服务': {'服务态度': 13.0, '包装': 12.0, '态度': 10.0, '好评': 2.0, '卖家': 2.0, '换货': 1.0, '外包装': -1.0, '客服': 1.0, '包装盒': 1.0}, '物流': {}}, '服务': {'质量': {'质量': 43.0, '声音': 36.0, '挺好': 6.0, '噪声': 1.0, '电源线': -1.0, '噪音': 1.0, '盖子': 1.0, '嗓音': 1.0, '吵得': -1.0, '实用性': 3.0}, '款式': {'很漂亮': 1.0, '款式': 2.0, '塑料': -1.0, '按键': 1.0, '样式': 1.0}, '功能': {'豆浆': 4.0, '榨汁': 1.0, '榨汁机': 2.0, '绞肉': -1.0, '果汁': 3.0, '菠萝汁': 1.0, '辅食': 1.0, '电路': 1.0, '虾皮': 0.0, '苹果汁': 1.0, '豆汁': 1.0, '功率': 2.0, '转速': 4.0}, '服务': {'服务态度': 13.0, '包装': 12.0, '态度': 10.0, '好评': 2.0, '卖家': 2.0, '换货': 1.0, '外包装': -1.0, '客服': 1.0, '包装盒': 1.0}, '物流': {}}, '物流': {'质量': {'质量': 43.0, '声音': 36.0, '挺好': 6.0, '噪声': 1.0, '电源线': -1.0, '噪音': 1.0, '盖子': 1.0, '嗓音': 1.0, '吵得': -1.0, '实用性': 3.0}, '款式': {'很漂亮': 1.0, '款式': 2.0, '塑料': -1.0, '按键': 1.0, '样式': 1.0}, '功能': {'豆浆': 4.0, '榨汁': 1.0, '榨汁机': 2.0, '绞肉': -1.0, '果汁': 3.0, '菠萝汁': 1.0, '辅食': 1.0, '电路': 1.0, '虾皮': 0.0, '苹果汁': 1.0, '豆汁': 1.0, '功率': 2.0, '转速': 4.0}, '服务': {'服务态度': 13.0, '包装': 12.0, '态度': 10.0, '好评': 2.0, '卖家': 2.0, '换货': 1.0, '外包装': -1.0, '客服': 1.0, '包装盒': 1.0}, '物流': {}}}","{'书名': '德国智能破壁机料理机沙冰机家用商用多功能搅拌机豆浆榨汁碎冰', '颜色分类': '一年免费换新机', '产品功能': '榨汁 切菜 绞肉 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人'}"
1,wmf,04 1627 0011,13.0,1716.0,{'4': '婴儿辅食'},{'服务': {'包装': 1.0}},"{'书名': '德国WMF mix&go福腾宝榨汁破壁机碎冰搅拌机奶昔机料理机 现货', '颜色分类': '塑料杯款0416270011 不锈钢杯款0416410011', '产品功能': '榨汁 碎冰 搅拌 制奶昔 混合', '适用人数': '4-5人'}"
2,wmf,04.1635.9911,1.0,728.0,"{'7': '手持', '4': '婴儿辅食'}",{'物流': {}},"{'书名': '德国福腾宝WMF0416359911家用手持式多功能料理机新品', '颜色分类': '手持式多功能料理机', '产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人'}"
3,wmf,0416250011,3.0,1560.0,{'4': '婴儿辅食'},"{'质量': {'噪音': -1.0}, '功能': {'绞肉': 1.0, '碎肉': 1.0}, '服务': {'服务态度': 1.0, '包装': 1.0}}","{'书名': '德国采购原装进口WMF绞肉机KULT X 辅食机料理机馅料饺子绞肉', '颜色分类': '手持式多功能料理机', '产品功能': '切菜 绞肉 碎冰 干磨 绞肉', '适用人数': '1-3人'}"
4,hyundai/现代,089,7.0,831.6,"{'5': '小容量', '4': '婴儿辅食'}","{'质量': {'质量': 20.0, '声音': 1.0, '玻璃': 5.0, '噪声': 1.0, '完好无缺': 1.0, '噪音': -2.0, '刀子': 1.0}, '款式': {'款式': 2.0, '很漂亮': 2.0, '体积': 1.0, '大小': 1.0}, '功能': {'辅食': 2.0, '绞肉': 5.0, '蔬菜': -1.0, '饺子馅': 1.0, '蔬菜泥': 1.0, '图案': 1.0, '熟食': 1.0, '芝麻': -1.0, '米粥': 1.0}, '服务': {'包装': 8.0, '服务态度': 3.0, '态度': 4.0, '换货': -1.0}, '物流': {}}","{'书名': 'HYUNDAI/现代 089料理多功能家用搅拌迷你宝宝婴儿辅食绞肉研磨器', '颜色分类': '蓝色 白色', '产品功能': '绞肉\xa0碎冰\xa0搅拌\xa0和面\xa0打蛋\xa0混合\xa0绞肉', '适用人数': '4-5人'}"
5,凯云,1251-3,106.0,12795.2,"{'7': '手持', '4': '婴儿辅食'}","{'质量': {'质量': 5.0, '挺好': -1.0, '声音': 2.0, '噪音': 2.0, '大马力': 1.0}, '功能': {'功率': 1.0, '转速': 1.0, '绞肉': 1.0, '绞肉机': 1.0}, '服务': {'态度': 4.0, '包装': 1.0, '果泥': 2.0}, '物流': {}}","{'书名': '凯云手持料理棒宝宝辅食机婴儿搅拌棒辅食器果汁豆浆绞肉机', '颜色分类': 'EJ-816 EJ-817 萃茶杯 EJ-816 EJ-817 沙冰杯 EJ-816 EJ-817 奶盖杯 EJ-816 EJ-817 雪克杯', '产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '5人及以上'}"
6,skg,1260C,17.0,5083.0,"{'7': '手持', '4': '婴儿辅食'}","{'功能': {}, '服务': {'态度': 1.0, '包装': 1.0}}","{'书名': 'SKG 1260C宝宝辅食机手持搅拌机料理棒婴儿料理机辅食机电动 手持', '颜色分类': '白色', '产品功能': '榨汁\xa0切菜\xa0绞肉\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '1-3人'}"
7,skg,1290,1.0,299.0,"{'3': '全自动', '4': '婴儿辅食'}","{'质量': {'声音': 1.0}, '功能': {'核桃': 0.0}, '服务': {'店家': 2.0, '服务态度': 1.0, '态度': 1.0}}","{'书名': 'SKG 1290 家用小型多功能料理机全自动炸果绞肉搅拌机果汁机正品', '颜色分类': '黑色', '产品功能': '榨汁\xa0碎冰\xa0干磨\xa0搅拌\xa0混合\xa0绞肉', '适用人数': '4-5人'}"
8,skg,1293,17.0,5083.0,"{'7': '手持', '4': '婴儿辅食'}",{'功能': {'绞肉': 1.0}},"{'书名': 'SKG 1293料理机婴儿辅食家用小型手持多功能料理棒榨汁绞肉电动', '颜色分类': '黑色', '产品功能': '榨汁\xa0切菜\xa0绞肉\xa0打蛋\xa0制奶昔', '适用人数': '1-3人'}"
9,kaiso/凯索,1500,1.0,106.8,{'2': '大容量'},,"{'书名': '多乐水果搅拌机 料理机家用电动自动康宝莱奶昔机1.5升大容量', '颜色分类': '新款多乐奶昔榨汁机 新款多乐奶昔榨汁机4台批发价 新款多乐奶昔榨汁机8台批发价', '产品功能': '榨汁 绞肉 碎冰 搅拌 打蛋 制奶昔 绞肉', '适用人数': '4-5人'}"
